Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName)
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateResourceGroupTest#test_alter2
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateResourceGroupTest#test_create
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateResourceGroupTest#test_create2
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateResourceGroupTest#test_alter
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateDatabaseTest#test_2
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateDatabaseTest#test_3
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateExternalCatalogTest2#test_0
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateResourceGroupTest_hive#test_create
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateResourceGroupTest_hive#test_alter
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateExternalCatalogTest1#test_0
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateExternalCatalogTest1#test_1
https://github.com/alibaba/druid,ed00cabc48aa329371bec3b6e5a692510d1f1bb2,core,com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateResourceGroupTest#test_create3
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.http.Http2TLSTest#testSNIUnknownServerName2
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.http.Http2TLSTest#testSNIServerIgnoresExtension2
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.http.Http2TLSTest#testSNIDontSendServerNameForShortnames2
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.http.Http1xTLSTest#testSNIUnknownServerName2
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.http.Http1xTLSTest#testSNIServerIgnoresExtension2
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.http.Http1xTLSTest#testSNIDontSendServerNameForShortnames1
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.http.Http1xTLSTest#testSNIDontSendServerNameForShortnames2
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.json.JsonPOJOMapperTest#testSerialization
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.net.NetTest#testSniImplicitServerNameDisabledForShortname2
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.net.NetTest#testSniWithoutServerNameUsesTheFirstKeyStoreEntry1
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.net.NetTest#testSniWithUnknownServer1
https://github.com/eclipse-vertx/vert.x,67ba7136b486fef8d22699c6fc366d80bf6eb6fa,.,io.vertx.core.http.Http2TLSTest#testSNIDontSendServerNameForShortnames1
