Project URL,SHA Detected,Subproject Name,Fully-Qualified Test Name (packageName.ClassName.methodName)
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,inject-java,io.micronaut.visitors.ClassElementSpec.test type annotations on a method and a field 2
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,inject-java,io.micronaut.visitors.ClassElementSpec.test annotation metadata present on deep type parameters for method 2
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,inject-kotlin,io.micronaut.kotlin.processing.annotations.AnnotateMethodSpec.test annotating
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,inject-kotlin,io.micronaut.kotlin.processing.beans.BeanRegistrationSpec.test inject bean registrations
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,inject-kotlin,io.micronaut.kotlin.processing.annotations.AnnotateFieldSpec.test annotating
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.modules.BeanIntrospectionModuleSpec.Bean introspection works with a bean without JsonInclude annotations - serializationInclusion ALWAYS
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.modules.BeanIntrospectionModuleSpec.test that introspected serialization works
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.modules.BeanIntrospectionModuleSpec.test that introspected serialization of errors works
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.parser.JacksonProcessorSpec.test big integer
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.parser.JacksonProcessorSpec.test big integer - USE_BIG_INTEGER_FOR_INTS
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.parser.JacksonProcessorSpec.test big integer without string - USE_BIG_INTEGER_FOR_INTS
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.parser.JacksonProcessorSpec.test publish JSON node async
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.parser.JacksonProcessorSpec.test publish JSON array async
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.modules.BeanIntrospectionModuleSpec.Bean introspection works with JsonInclude.Include.ALWAYS
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.parser.JacksonProcessorSpec.test big decimal
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.parser.JacksonProcessorSpec.test big decimal - USE_BIG_DECIMAL_FOR_FLOATS
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,jackson-databind,io.micronaut.jackson.parser.JacksonProcessorSpec.test big decimal - USE_BIG_DECIMAL_FOR_FLOATS and withExactBigDecimals
