project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (minutes)
gpx-animator/gpx-animator,T,8.5,0,107,106,0,1,19
Grigory-Rylov/android-methods-profiler:app,error with test,7.4,error,,,,,13
Grigory-Rylov/android-methods-profiler:core,error with test,7.4,no test,,,,,13
Grigory-Rylov/android-methods-profiler:plugin,error with test,7.4,no test,,,,,13
groovyfx-project/groovyfx,F,6.8.3,N/A,,,,,0
happysingh23828/Android-Clean-Architecture,F,5.6.4,N/A,,,,,0
HaxeFoundation/intellij-haxe:common,error with test,7.6,error,,,,,7
HaxeFoundation/intellij-haxe:hxcpp-debugger-protocol,error with test,7.6,error,,,,,7
HaxeFoundation/intellij-haxe:jps-plugin,error with test,7.6,error,,,,,7
HbmMods/Hbm-s-Nuclear-Tech-GIT,F,4.4.1,N/A,,,,,0
hyperledger/fabric-chaincode-java:fabric-chaincode-docker,T,7.6.3,error,,,,,9
hyperledger/fabric-chaincode-java:fabric-chaincode-integration-test,T,7.6.3,error,,,,,9
hyperledger/fabric-chaincode-java:fabric-chaincode-shim,T,7.6.3,error,,,,,9
iainporter/oauth2-provider,F,2.1,N/A,,,,,0
int128/gradle-swagger-generator-plugin:acceptance-test,T,7.6.3,0,64,64,0,0,51
int128/gradle-swagger-generator-plugin:template-project,T,7.6.3,no test,,,,,51
jakeouellette/inspector,F,1.12,N/A,,,,,0
jaredlll08/MultiLoader-Template:common,error with test,8.5,no test,,,,,28
jaredlll08/MultiLoader-Template:fabric,error with test,8.5,0,0,0,0,0,29
jaredlll08/MultiLoader-Template:forge,error with test,8.5,error,,,,,30
jaredlll08/MultiLoader-Template:neoforge,error with test,8.5,0,0,0,0,0,49
java9-modularity/gradle-modules-plugin,T,7.2,57,217,82,134,1,141
javaparser/javasymbolsolver,F,2.12,N/A,,,,,0
jediminer543/JMT-MCMT,F,4.10.3,N/A,,,,,0
jenkinsci/mesos-plugin,F,5.1.1,N/A,,,,,0
JetBrains/gradle-idea-ext-plugin,F,6.5,N/A,,,,,0
jk1/Gradle-License-Report,T,8.1.1,0,139,135,2,2,26
jkazama/ddd-java,T,8.1.1,0,14,14,0,0,5
jparkie/PDD,F,2.9,N/A,,,,,0
jshingler/TOS-and-Thinkscript-Snippet-Collection,F,6.0,N/A,,,,,0
jvm-bloggers/jvm-bloggers,T,7.6,1,1447,1447,0,0,28
komputing/FaucETH,T,7.6,error,,,,,2
Kopamed/Raven-bPLUS,F,4.7,N/A,,,,,0
kosaka-bun/qqrobot-sdk:qqrobot-framework-api,error with test,7.4,error,,,,,6
kosaka-bun/qqrobot-sdk:qqrobot-spring-boot-starter,error with test,7.4,error,,,,,6
ksprojects/protobuf-jetbrains-plugin,F,4.10.2,N/A,,,,,0
kt3k/coveralls-gradle-plugin,F,6.8.3,N/A,,,,,0
LambdaInnovation/AcademyCraft,F,4.8.1,N/A,,,,,0
lawrancej/logisim,F,2.2,N/A,,,,,0
LinkedInAttic/Cubert,F,2.0,N/A,,,,,0
linkedin/isolation-forest,F,6.8.3,N/A,,,,,0
linkedin/transport:transportable-udfs-annotation-processor,T,7.5.1,error,,,,,7
linkedin/transport:transportable-udfs-api,T,7.5.1,error,,,,,7
linkedin/transport:transportable-udfs-avro,T,7.5.1,error,,,,,7
linkedin/transport:transportable-udfs-codegen,T,7.5.1,error,,,,,8
linkedin/transport:transportable-udfs-compile-utils,T,7.5.1,error,,,,,8
linkedin/transport:transportable-udfs-hive,T,7.5.1,error,,,,,8
linkedin/transport:transportable-udfs-plugin,T,7.5.1,error,,,,,8
linkedin/transport:transportable-udfs-spark_2.11,T,7.5.1,error,,,,,8
linkedin/transport:transportable-udfs-spark_2.12,T,7.5.1,error,,,,,8
linkedin/transport:transportable-udfs-test,T,7.5.1,error,,,,,8
linkedin/transport:transportable-udfs-trino,T,7.5.1,error,,,,,8
linkedin/transport:transportable-udfs-trino-plugin,T,7.5.1,error,,,,,8
linkedin/transport:transportable-udfs-type-system,T,7.5.1,error,,,,,8
linkedin/transport:transportable-udfs-utils,T,7.5.1,error,,,,,9
Lunatrius/Schematica,F,2.9,N/A,,,,,0
malikzh/NCANode,error with test,7.2,error,,,,,1
maruohon/malilib,F,2.14.1,N/A,,,,,0
mbeddr/mbeddr.core:BigProject,error with test,8.0.2,no test,,,,,8
mbeddr/mbeddr.core:build,error with test,8.0.2,no test,,,,,8
mbeddr/mbeddr.core:try,error with test,8.0.2,error,,,,,8
MCMicS/jenkins-control-plugin,T,8.1.1,error,,,,,9
meddle0x53/learning-rxjava,F,2.0,N/A,,,,,0
melix/deck2pdf,F,2.5,N/A,,,,,0
michalstocki/FlashWavRecorder,F,1.10,N/A,,,,,0
michel-kraemer/bson4jackson,T,8.0.1,0,128,128,0,0,2
miho/VWorkflows:vworkflows-core,T,7.4.2,0,21,16,5,0,11
miho/VWorkflows:vworkflows-demo,T,7.4.2,no test,,,,,11
miho/VWorkflows:vworkflows-fx,T,7.4.2,0,1,1,0,0,11
Minecraft-Transit-Railway/Minecraft-Transit-Railway:common,error with test,7.3.3,no test,,,,,21
Minecraft-Transit-Railway/Minecraft-Transit-Railway:fabric,error with test,7.3.3,no test,,,,,22
Minecraft-Transit-Railway/Minecraft-Transit-Railway:forge,error with test,7.3.3,no test,,,,,22
mraible/21-points,T,7.4.2,0,53,53,0,0,30
MrCrayfish/Controllable,F,8.1.1,N/A,,,,,2
nadavc/groovykoans,F,2.8,N/A,,,,,0
Nan1t/NanoLimbo,error with test,7.4.2,no test,,,,,0
naver/spring-jdbc-plus:guide-projects,T,7.6,error,,,,,5
naver/spring-jdbc-plus:spring-boot-autoconfigure-data-jdbc-plus,T,7.6,error,,,,,5
naver/spring-jdbc-plus:spring-boot-starter-data-jdbc-plus-repository,T,7.6,error,,,,,5
naver/spring-jdbc-plus:spring-boot-starter-data-jdbc-plus-sql,T,7.6,error,,,,,5
naver/spring-jdbc-plus:spring-data-jdbc-plus-repository,T,7.6,error,,,,,5
naver/spring-jdbc-plus:spring-data-jdbc-plus-sql,T,7.6,error,,,,,5
